institute,program,quota,seat_type,gender,opening_rank,closing_rank,round,year,is_special_round,institute_type,is_pwd,category_base,gender_short,rank_window,competitiveness_score,iit_generation,nit_region,program_category,yoy_closing_rank_change,is_new_age_program,is_top_tier_college,accessibility_label,last_round
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,14868,16711,6,2018,False,GFTI,False,OBC-NCL,GN,1843,0.9584,Not IIT,Not NIT,Other,-12711.0,False,False,Moderate Competition,6
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,19063,20636,6,2020,False,GFTI,False,OBC-NCL,GN,1573,0.9475,Not IIT,Not NIT,Other,3925.0,False,False,Moderate Competition,6
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,24517,26202,6,2021,False,GFTI,False,OBC-NCL,GN,1685,0.9142,Not IIT,Not NIT,Other,5566.0,False,False,Moderate Competition,6
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,25613,27109,6,2022,False,GFTI,False,OBC-NCL,GN,1496,0.917,Not IIT,Not NIT,Other,907.0,False,False,Moderate Competition,6
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,23304,25384,6,2023,False,GFTI,False,OBC-NCL,GN,2080,0.9382,Not IIT,Not NIT,Other,-1725.0,False,False,Moderate Competition,6
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,25173,29422,6,2025,False,GFTI,False,OBC-NCL,GN,4249,0.9476,Not IIT,Not NIT,Other,4038.0,False,False,Moderate Competition,6
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Gender-Neutral,189808,314522,5,2019,False,GFTI,False,OBC-NCL,GN,124714,0.2747,Not IIT,Not NIT,Other,218439.0,False,False,Low Competition,5
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Gender-Neutral,88617,126820,5,2024,False,GFTI,False,OBC-NCL,GN,38203,0.7778,Not IIT,Not NIT,Other,43202.0,False,False,Low Competition,5
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Gender-Neutral,121415,135385,6,2018,False,GFTI,False,OBC-NCL,GN,13970,0.6631,Not IIT,Not NIT,Other,35646.0,False,False,Low Competition,6
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Gender-Neutral,94069,99125,6,2020,False,GFTI,False,OBC-NCL,GN,5056,0.7477,Not IIT,Not NIT,Other,-36260.0,False,False,Low Competition,6
